Date,Team,Acquired,Relinquished,Notes
3/21/2018,Grizzlies,,Ivan Rabb,right heel injury (DTD)
3/21/2018,Hornets,,Nicolas Batum,sore left Achilles (DTD)
3/21/2018,Kings,,Garrett Temple,sprained left ankle (out for season)
3/21/2018,Pelicans,Jrue Holiday,,returned to lineup
3/21/2018,Raptors,DeMar DeRozan,,returned to lineup
3/21/2018,Nets,,Dante Cunningham,DNP
3/22/2018,Bulls,,Antonio Blakeney,fractured left wrist (out for season)
3/22/2018,Grizzlies,,Andrew Harrison,right wrist injury (DTD)
3/22/2018,Grizzlies,Ivan Rabb,,returned to lineup
3/22/2018,Hawks,,Dennis Schroder,rest (DTD)
3/22/2018,Magic,,Jonathan Isaac,sprained left foot (DTD)
3/22/2018,Rockets,,Chris Paul,sore left hamstring (DTD)
3/22/2018,Warriors,,Draymond Green,bruised pelvis (DTD)
3/23/2018,Blazers,,Shabazz Napier,left big toe injury (DTD)
3/23/2018,Celtics,,Kyrie Irving,surgery on left knee (out for season)
3/23/2018,Grizzlies,,Ivan Rabb,right heel injury (DTD)
3/23/2018,Hawks,Dennis Schroder,,returned to lineup
3/23/2018,Hawks,John Collins,John Collins,returned to lineup
3/23/2018,Nets,Dante Cunningham,,returned to lineup
3/23/2018,Timberwolves,,Derrick Rose,sprained right ankle (DTD)
3/24/2018,Grizzlies,,Chandler Parsons,sore right knee (DTD)
3/24/2018,Grizzlies,,Tyreke Evans,placed on IL for personal reasons (out for season)
3/24/2018,Grizzlies,Andrew Harrison,,returned to lineup
3/24/2018,Lakers,,Isaiah Thomas,right hip injury (out for season)
3/24/2018,Lakers,,Luol Deng,sprained left ankle (DTD)
3/24/2018,Pelicans,,Nikola Mirotic,hip injury (DTD)
3/24/2018,Pelicans,,Nikola Mirotic,right hip flexor injury (DTD)
3/24/2018,Pelicans,,Rajon Rondo,sprained right wrist (DTD)
3/24/2018,Rockets,,Luc Richard Mbah a Moute / Luc Mbah a Moute,sore left knee (DTD)
3/24/2018,Warriors,,Stephen Curry,sprained MCL in left knee (out indefinitely)
3/25/2018,Blazers,Shabazz Napier,,returned to lineup
3/25/2018,Hawks,,Dennis Schroder,sprained left ankle (out for season)
3/25/2018,Knicks,,Damyean Dotson,sprained right foot (DTD)
3/25/2018,Knicks,,Kyle O'Quinn,strained left hip (DTD)
3/25/2018,Knicks,Lance Thomas,,activated from IL
3/25/2018,Warriors,,Draymond Green,flu (DTD)
3/26/2018,Bulls,,Paul Zipser,sore left foot (out for season)
3/26/2018,Grizzlies,Chandler Parsons,,returned to lineup
3/26/2018,Knicks,,Emmanuel Mudiay,illness (DTD)
3/26/2018,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,personal reasons (DTD)
3/27/2018,Heat,,Bam Adebayo,sprained right ankle (DTD)
3/27/2018,Mavericks,,Dwight Powell,left knee injury (DTD)
3/27/2018,Mavericks,,Dwight Powell,bursitis in knee (DTD)
3/27/2018,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL for personal reasons
3/27/2018,Mavericks,,Nerlens Noel,rest (DTD)
3/27/2018,Pelicans,,Alexis Ajinca / Alex Ajinca,surgery on left knee (out for season)
3/27/2018,Pelicans,,Rajon Rondo,sprained right wrist (DTD)
3/27/2018,Pelicans,Nikola Mirotic,,returned to lineup
3/27/2018,Rockets,,Clint Capela,sprained left thumb (DTD)
3/27/2018,Rockets,Chris Paul,,returned to lineup
3/27/2018,Blazers,,Maurice Harkless / Moe Harkless,surgery on left knee (out indefinitely)
3/27/2018,Warriors,,Chris Boucher,sprained left ankle (DTD)
3/28/2018,76ers,,Amir Johnson,illness (DTD)
3/28/2018,76ers,,Justin Anderson,sore right ankle (DTD)
3/28/2018,Blazers,,Damian Lillard,personal reasons (DTD)
3/28/2018,Cavaliers,,Kevin Love,concussion (out indefinitely)
3/28/2018,Celtics,,Al Horford,ankle injury (DTD)
3/28/2018,Celtics,,Marcus Morris,sprained right ankle (DTD)
3/28/2018,Clippers,,Milos Teodosic,plantar fascia in left foot (out for season)
3/28/2018,Grizzlies,,Andrew Harrison,right wrist injury (out for season)
3/28/2018,Knicks,,Courtney Lee,left foot injury (DTD)
3/28/2018,Knicks,Damyean Dotson,,returned to lineup
3/28/2018,Knicks,Emmanuel Mudiay,,returned to lineup
3/28/2018,Lakers,,Isaiah Thomas,surgery on right hip (out for season)
3/28/2018,Magic,,Wesley Iwundu / Wes Iwundu,illness (DTD)
3/28/2018,Mavericks,,Salah Mejri,bruised right knee (DTD)
3/28/2018,Mavericks,Dwight Powell,,returned to lineup
3/28/2018,Mavericks,Nerlens Noel,,returned to lineup
3/28/2018,Nets,,Isaiah Whitehead,sprained right wrist (out for season)
3/28/2018,Suns,,Alex Len,sprained left ankle (DTD)
3/28/2018,Suns,,Elfrid Payton,left knee injury (out for season)
3/29/2018,76ers,,Joel Embiid,fractured left orbital bone (out indefinitely)
3/29/2018,Bulls,,Cristiano Felicio,sore lower back (DTD)
3/29/2018,Bulls,,Lauri Markkanen,rest (DTD)
3/29/2018,Warriors,Draymond Green,,returned to lineup
3/30/2018,76ers,Amir Johnson,,returned to lineup
3/30/2018,Blazers,Damian Lillard,,returned to lineup
3/30/2018,Bucks,,John Henson,right index finger injury (DTD)
3/30/2018,Bulls,Lauri Markkanen,,returned to lineup
3/30/2018,Cavaliers,Kevin Love,,returned to lineup
3/30/2018,Clippers,,Jawun Evans,abdominal injury / sports hernia / athletic pubalgia (out for season)
3/30/2018,Grizzlies,,Chandler Parsons,rest (DTD)
3/30/2018,Jazz,,Ricky Rubio,hamstring injury (DTD)
3/30/2018,Jazz,,Ricky Rubio,sore left hamstring (DTD)
3/30/2018,Lakers,,Lonzo Ball,bruised left knee (out for season)
3/30/2018,Magic,Jonathan Isaac,,returned to lineup
3/30/2018,Pelicans,Rajon Rondo,,returned to lineup
3/30/2018,Rockets,,Chris Paul,sore left hip / rest (DTD)
3/30/2018,Rockets,,Eric Gordon,sore left / right knee (DTD)
3/30/2018,Rockets,Clint Capela,,returned to lineup
3/30/2018,Suns,,Jared Dudley,sore left ankle (DTD)
3/30/2018,Warriors,,Andre Iguodala,sore left knee (DTD)
3/31/2018,76ers,,Joel Embiid,surgery to repair fractured left orbital bone (out indefinitely)
3/31/2018,Celtics,Al Horford,,returned to lineup
3/31/2018,Celtics,Marcus Morris,,returned to lineup
3/31/2018,Hornets,,Jeremy Lamb,sore left foot (DTD)
3/31/2018,Knicks,,Frank Ntilikina,illness (DTD)
3/31/2018,Warriors,Chris Boucher,,returned to lineup
4/1/2018,76ers,Justin Anderson,,returned to lineup
4/1/2018,Grizzlies,,JaMychal Green,sore left knee (out for season)
4/1/2018,Grizzlies,,MarShon Brooks,left ankle injury (DTD)
4/1/2018,Hornets,,Dwayne Bacon,sprained right ankle (out for season)
4/1/2018,Hornets,Jeremy Lamb,,returned to lineup
4/1/2018,Jazz,Ricky Rubio,,returned to lineup
4/1/2018,Kings,,Zach Randolph,personal reasons (DTD)
4/1/2018,Magic,Wesley Iwundu / Wes Iwundu,,returned to lineup
4/1/2018,Pistons,,James Ennis,bruised right hand (DTD)
4/1/2018,Rockets,,Chris Paul,sore left leg (DTD)
4/1/2018,Rockets,Eric Gordon,,returned to lineup
4/1/2018,Timberwolves,,Jeff Teague,knee injury (DTD)
4/1/2018,Wizards,,John Wall (a),rest (DTD)
4/1/2018,Cavaliers,Cavaliers,,activated from IL
4/1/2018,Cavaliers,Kyle Korver,,activated from IL
4/1/2018,Cavaliers,,Kyle Korver,sore right foot (DTD)
4/2/2018,Knicks,,Troy Williams,fractured jaw (out for season)
4/3/2018,Bulls,,Denzel Valentine,surgery on left knee (out for season)
4/3/2018,Cavaliers,Kyle Korver,,returned to lineup
4/3/2018,Clippers,,Danilo Gallinari,sore right hand (out for season)
4/3/2018,Grizzlies,,Wayne Selden Jr.,sore right knee (out for season)
4/3/2018,Hawks,,Dewayne Dedmon,sore ribs (DTD)
4/3/2018,Kings,,Skal Labissiere,sprained left ankle (out for season)
4/3/2018,Knicks,Courtney Lee,,returned to lineup
4/3/2018,Knicks,Frank Ntilikina,,returned to lineup
4/3/2018,Magic,,Jonathan Isaac,sprained left ankle (out for season)
4/3/2018,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
4/3/2018,Mavericks,Salah Mejri,,returned to lineup
4/3/2018,Nets,,Isaiah Whitehead,surgery on right wrist (out for season)
4/3/2018,Rockets,,Trevor Ariza,rest (DTD)
4/3/2018,Rockets,Chris Paul,,returned to lineup
4/3/2018,Suns,Alex Len,,returned to lineup
4/3/2018,Warriors,,Shaun Livingston,personal reasons (DTD)
4/4/2018,Grizzlies,MarShon Brooks,,returned to lineup
4/4/2018,Hawks,Dewayne Dedmon,,returned to lineup
4/4/2018,Nets,,DeMarre Carroll,strained left hip (out for season)
4/4/2018,Pistons,James Ennis,,returned to lineup
4/4/2018,Rockets,,Ryan Anderson,sprained left ankle (DTD)
4/4/2018,Grizzlies,Chandler Parsons,,returned to lineup
4/5/2018,Cavaliers,Tyronn Lue,,returned as head coach
4/5/2018,Celtics,,Kyrie Irving,surgery on left knee to remove 2 screws (out for season) (date approximate)
4/5/2018,Grizzlies,,Jarell Martin,left ankle injury (out for season)
4/5/2018,Mavericks,,Dirk Nowitzki,surgery on left ankle to remove loose debris (out for season)
4/5/2018,Nets,,Dante Cunningham,back injury (DTD)
4/5/2018,Rockets,Trevor Ariza,,returned to lineup
4/5/2018,Suns,,Alan Williams,sore right knee (out for season)
4/5/2018,Timberwolves,Jeff Teague,,returned to lineup
4/5/2018,Warriors,Shaun Livingston,,returned to lineup
4/6/2018,Grizzlies,,Marc Gasol,DTD
4/6/2018,Magic,,Aaron Gordon,sore right calf (DTD)
4/6/2018,Magic,,Nikola Vucevic,tightness in lower back (DTD)
4/6/2018,Mavericks,,Salah Mejri,rest / knee injury (out for season)
4/6/2018,Pelicans,,Ian Clark,sprained right ankle (DTD)
4/6/2018,Suns,,Troy Daniels,sprained right ankle (DTD)
4/6/2018,Suns,Jared Dudley,,returned to lineup
4/6/2018,Wizards,,Ian Mahinmi,concussion (DTD)
4/7/2018,Bucks,,Shabazz Muhammad,sprained right ankle (DTD)
4/7/2018,Bucks,,Sterling Brown,placed on IL for personal reasons
4/7/2018,Knicks,,Tim Hardaway Jr.,sprained left ankle (out for season)
4/7/2018,Nets,Dante Cunningham,,returned to lineup
4/7/2018,Rockets,,Tarik Black,sore lower back (DTD)
4/8/2018,Grizzlies,Marc Gasol,,returned to lineup
4/8/2018,Magic,Aaron Gordon,,returned to lineup
4/8/2018,Magic,Nikola Vucevic,,returned to lineup
4/8/2018,Suns,,Josh Jackson,bruised right quadriceps (out for season)
4/8/2018,Suns,Troy Daniels,,returned to lineup
4/9/2018,Bucks,Shabazz Muhammad,,returned to lineup
4/9/2018,Bucks,Sterling Brown,,activated from IL
4/9/2018,Clippers,,Austin Rivers,sore right elbow (out for season)
4/9/2018,Clippers,,Louis Williams / Lou Williams,sprained right ankle (out for season)
4/9/2018,Hawks,,Malcolm Delaney,arthroscopic surgery on left ankle (out for season)
4/9/2018,Kings,,Frank Mason,partially torn plantar fascia in left foot (out for season)
4/9/2018,Nets,,Joe Harris,sprained left ankle (out for season)
4/9/2018,Pelicans,Ian Clark,,returned to lineup
4/10/2018,Mavericks,,Domantas Sabonis,elbow injury (out for season)
4/10/2018,Rockets,,Luc Richard Mbah a Moute / Luc Mbah a Moute,dislocated right shoulder (DTD)
4/10/2018,Suns,,Troy Daniels,sprained right ankle (DTD)
4/10/2018,Thunder,,Alex Abrines,concussion (DTD)
4/10/2018,Wizards,Ian Mahinmi,,returned to lineup
4/11/2018,76ers,,J.J. Redick,tightness in lower back (DTD)
4/11/2018,Knicks,,Courtney Lee,sprained left ankle (out for season)
4/11/2018,Pistons,,Jameer Nelson,illness (out for season)
4/11/2018,Rockets,,Chris Paul,rest (DTD)
4/11/2018,Rockets,,Clint Capela,hand injury (DTD)
4/11/2018,Rockets,,Eric Gordon,ankle injury / rest (DTD)
4/11/2018,Rockets,,James Harden,rest (DTD)
4/12/2018,Hawks,,DeAndre' Bembry / DeAndre Bembry,fractured right wrist (out for season)
4/14/2018,76ers,J.J. Redick,,returned to lineup
4/15/2018,Rockets,Chris Paul,,returned to lineup
4/15/2018,Rockets,Clint Capela,,returned to lineup
4/15/2018,Rockets,Eric Gordon,,returned to lineup
4/15/2018,Rockets,James Harden,,returned to lineup
4/15/2018,Spurs,,Joffrey Lauvergne,personal reasons (DTD)
4/16/2018,Spurs,,Joffrey Lauvergne,placed on IL for personal reasons
4/18/2018,Timberwolves,,Justin Patton,surgery on left foot (out for season)
4/19/2018,Spurs,,Gregg Popovich,head coach personal reasons (death of wife)
4/20/2018,Pacers,,Joe Young,illness (DTD)
4/22/2018,Pacers,Joe Young,,returned to lineup
4/22/2018,Spurs,Joffrey Lauvergne,,activated from IL
4/23/2018,Timberwolves,,Tyus Jones,sore right knee (DTD)
4/25/2018,Timberwolves,Tyus Jones,,returned to lineup
4/26/2018,Nuggets,,Mason Plumlee,surgery to repair core muscle injury (out for season)
4/27/2018,Wizards,,Otto Porter Jr.,surgery on left leg to remove blood around a contusion (out indefinitely)
4/30/2018,Celtics,,Jaylen Brown,strained right hamstring (DTD)
5/3/2018,Celtics,Jaylen Brown,,returned to lineup
5/7/2018,Jazz,,Dante Exum,strained left hamstring (out for season)
5/9/2018,Celtics,,Shane Larkin,sprained left shoulder (out for season)
5/9/2018,Thunder,,Paul George,arthroscopic surgery on right knee (out indefinitely)
5/22/2018,Warriors,,Andre Iguodala,bruised left leg (DTD)
5/25/2018,Rockets,,Chris Paul,strained right hamstring (out for season)
5/26/2018,Cavaliers,,Kevin Love,concussion (DTD)
5/31/2018,Cavaliers,Kevin Love,,returned to lineup
6/6/2018,Warriors,Andre Iguodala,,returned to lineup
9/24/2018,Warriors,,DeMarcus Cousins,recovering from surgery to repair torn left Achilles tendon (out indefinitely)
10/3/2018,Bulls,,Omer Asik,illness (out indefinitely)
10/7/2018,Spurs,Dejounte Murray,,torn ACL in right knee (out for season)
10/12/2018,Spurs,,Derrick White,plantar fascia in left foot (out indefinitely)
10/14/2018,Mavericks,,Harrison Barnes,strained right hamstring (DTD)
10/16/2018,76ers,,Zhaire Smith,surgery on left foot (out indefinitely)
10/16/2018,Celtics,,Jabari Bird,placed on IL for personal reasons
10/16/2018,Hawks,,Dewayne Dedmon,left ankle injury (DTD)
10/16/2018,Hawks,,Justin Anderson,tibia injury (DTD)
10/16/2018,Knicks,,Emmanuel Mudiay,sprained right ankle (DTD)
10/16/2018,Nets,,Allen Crabbe,sprained left ankle (DTD)
10/16/2018,Nets,,DeMarre Carroll,arthroscopic surgery on right ankle (out indefinitely)
10/16/2018,Nuggets,,Isaiah Thomas,right hip injury (DTD)
10/16/2018,Nuggets,,Jarred Vanderbilt,right foot injury (DTD)
10/16/2018,Rockets,,Marquese Chriss,sprained left ankle (DTD)
10/16/2018,Rockets,,Nene / Nene Hilario / Maybyner Hilario,strained right calf (out indefinitely)
10/16/2018,Thunder,,Russell Westbrook,right knee injury (DTD)
10/16/2018,Warriors,,Damion Lee,left foot injury (DTD)
10/17/2018,Bucks,,Trevon Duval,left eye injury (DTD)
10/17/2018,Cavaliers,,J.R. Smith,sore right elbow (DTD)
10/17/2018,Hawks,,Daniel Hamilton,torn rotator cuff in shoulder (out indefinitely)
10/17/2018,Heat,,Wayne Ellington,sore left ankle (DTD)
10/17/2018,Kings,,Bogdan Bogdanovic,left knee injury (out indefinitely)
10/17/2018,Knicks,,Courtney Lee,neck injury (DTD)
10/17/2018,Knicks,,Kristaps Porzingis,recovering from surgery on left knee to repair torn ACL (out for season)
10/17/2018,Mavericks,,Dirk Nowitzki,surgery on left ankle (out indefinitely)
10/17/2018,Nets,,Alan Williams,ankle injury (DTD)
10/17/2018,Nets,,Rondae Hollis-Jefferson,left groin injury (DTD)
10/17/2018,Nuggets,,Michael Porter Jr.,surgery on back (out for season)
10/17/2018,Pistons,,Reggie Bullock,illness (DTD)
10/17/2018,Pistons,,Stanley Johnson,toe injury (DTD)
10/17/2018,Raptors,,Chris Boucher,head injury (DTD)
10/17/2018,Raptors,,Delon Wright,left groin injury (DTD)
10/17/2018,Rockets,,Zhou Qi / Qi Zhou,sprained left knee (DTD)
10/17/2018,Timberwolves,,Justin Patton,right foot injury (DTD)
10/18/2018,Bulls,,Cristiano Felicio,sprained left ankle (DTD)
10/18/2018,Bulls,,Denzel Valentine,sprained left ankle (out indefinitely)
10/18/2018,Bulls,,Kris Dunn,placed on IL for personal reasons
10/18/2018,Lakers,,Alex Caruso,strained right hip (DTD)
10/18/2018,Lakers,,Moritz Wagner / Moe Wagner,bruised left knee (DTD)
10/18/2018,Pacers,,T.J. Leaf,sprained left ankle (DTD)
10/19/2018,Cavaliers,J.R. Smith,,returned to lineup
10/19/2018,Hawks,,Omari Spellman,sprained left ankle (DTD)
10/19/2018,Mavericks,,Devin Harris,strained left hamstring (DTD)
10/19/2018,Raptors,Chris Boucher,,returned to lineup
10/19/2018,Suns,,Troy Daniels,concussion (DTD)
10/20/2018,Grizzlies,,JaMychal Green,fractured jaw (out indefinitely)
10/20/2018,Magic,,Jonathon Simmons,placed on IL for personal reasons
10/20/2018,Magic,,Timofey Mozgov,sore right knee (out for season)
10/20/2018,Pistons,Reggie Bullock,,returned to lineup
10/20/2018,Pistons,Stanley Johnson,,returned to lineup
10/21/2018,Celtics,,Aron Baynes,strained right hamstring (DTD)
10/21/2018,Hawks,Omari Spellman,,returned to lineup
10/21/2018,Knicks,,Kevin Knox,sprained left ankle (DTD)
10/21/2018,Thunder,Russell Westbrook,,returned to lineup
10/21/2018,Bulls,Omer Asik,,returned to lineup
10/22/2018,Bulls,Kris Dunn,,activated from IL
10/22/2018,Magic,Jonathon Simmons,,activated from IL
10/22/2018,Suns,Troy Daniels,,returned to lineup
10/22/2018,Warriors,Damion Lee,,returned to lineup
10/22/2018,Lakers,Alex Caruso,,returned to lineup
10/23/2018,Bulls,,Kris Dunn,sprained MCL in left knee (out indefinitely)
10/23/2018,Grizzlies,,Chandler Parsons,sore right knee (out indefinitely)
10/23/2018,Nets,,Rodions Kurucs,sprained left ankle (DTD)
10/23/2018,Rockets,,James Ennis,strained right hamstring (DTD)
10/24/2018,Bulls,Cristiano Felicio,,returned to lineup
10/24/2018,Nets,Rondae Hollis-Jefferson,,returned to lineup
10/24/2018,Pacers,T.J. Leaf,,returned to lineup
10/24/2018,Raptors,Delon Wright,,returned to lineup
10/24/2018,Wizards,,Ian Mahinmi,back injury (DTD)
10/25/2018,Bulls,,Bobby Portis,sprained MCL in right knee (out indefinitely)
10/25/2018,Raptors,,Delon Wright,strained left adductor (DTD)
10/25/2018,Rockets,,James Harden,strained left hamstring (DTD)
10/26/2018,Hawks,,Alex Poythress,left knee injury (DTD)
10/26/2018,Mavericks,,Dennis Smith Jr.,sprained right ankle (DTD)
10/26/2018,Mavericks,Harrison Barnes,,returned to lineup
10/26/2018,Nets,,Kenneth Faried,illness (DTD)
10/26/2018,Pistons,,Luke Kennard,right shoulder injury (out indefinitely)
10/26/2018,Raptors,,O.G. Anunoby,placed on IL for personal reasons
10/26/2018,Wizards,Ian Mahinmi,,returned to lineup
10/26/2018,Lakers,Moritz Wagner / Moe Wagner,,returned to lineup
10/26/2018,Nets,Alan Williams,,returned to lineup
10/27/2018,Heat,Wayne Ellington,,returned to lineup
10/28/2018,Blazers,,Maurice Harkless / Moe Harkless,left knee injury (DTD)
10/28/2018,Mavericks,Dennis Smith Jr.,,returned to lineup
10/28/2018,Nets,Kenneth Faried,,returned to lineup
10/28/2018,Pelicans,,Elfrid Payton,sprained right ankle (DTD)
10/29/2018,Celtics,,Daniel Theis,plantar fascia in right foot (out indefinitely)
10/29/2018,Lakers,,Michael Beasley,personal reasons (DTD)
10/29/2018,Raptors,Delon Wright,,returned to lineup
10/29/2018,Pelicans,,Anthony Davis,sprained right elbow (DTD)
10/30/2018,Rockets,Marquese Chriss,,returned to lineup
10/30/2018,Rockets,Zhou Qi / Qi Zhou,,returned to lineup
10/31/2018,Jazz,,Alec Burks,left hand injury (DTD)
10/31/2018,Pelicans,Anthony Davis,,returned to lineup
10/31/2018,Suns,,Isaiah Canaan,left ankle injury (DTD)
10/31/2018,Timberwolves,,Jeff Teague,bruised left knee (DTD)
10/31/2018,Timberwolves,,Tyus Jones,sore right foot (DTD)
10/31/2018,Hawks,Daniel Hamilton,,returned to lineup
11/1/2018,Jazz,,Donovan Mitchell,right hamstring injury (DTD)
11/1/2018,Kings,,Troy Williams,sore right ankle (DTD)
11/1/2018,Pelicans,,Anthony Davis,sprained right elbow (DTD)
11/2/2018,Raptors,O.G. Anunoby,,activated from IL
11/2/2018,Suns,Isaiah Canaan,,returned to lineup
11/2/2018,Timberwolves,Tyus Jones,,returned to lineup
11/2/2018,Grizzlies,,JaMychal Green,fractured jaw (out indefinitely)
11/3/2018,Heat,,Goran Dragic,toe injury (DTD)
11/3/2018,Pelicans,Anthony Davis,,returned to lineup
11/3/2018,Pistons,,Reggie Bullock,left ankle injury (DTD)
11/3/2018,Rockets,,Eric Gordon,strained right adductor (DTD)
11/4/2018,Bucks,,Christian Wood,finger injury (DTD)
11/4/2018,Jazz,,Donovan Mitchell,sprained left ankle (DTD)
11/4/2018,Kings,Troy Williams,,returned to lineup
11/4/2018,Spurs,,Rudy Gay,right heel injury (DTD)
11/4/2018,Timberwolves,,Derrick Rose,sore left ankle (DTD)
11/4/2018,Nets,Rodions Kurucs,,returned to lineup
11/5/2018,Grizzlies,,Omri Casspi,sore right knee (DTD)
11/5/2018,Heat,,Hassan Whiteside,right knee injury (DTD)
11/5/2018,Heat,Goran Dragic,,returned to lineup
11/5/2018,Jazz,Alec Burks,,returned to lineup
11/5/2018,Knicks,,Tim Hardaway Jr.,back injury (DTD)
11/5/2018,Knicks,Kevin Knox,,returned to lineup
11/5/2018,Timberwolves,Derrick Rose,,returned to lineup
11/6/2018,Bucks,Christian Wood,,returned to lineup
11/6/2018,Cavaliers,,Sam Dekker,sprained left ankle (out indefinitely)
11/6/2018,Raptors,,Norman Powell,left shoulder subluxation (DTD)
11/6/2018,Spurs,,Pau Gasol,sore right foot (DTD)
11/6/2018,Thunder,,Russell Westbrook,sprained left ankle (DTD)
11/7/2018,Hawks,,Kevin Huerter,placed on IL for personal reasons
11/7/2018,Heat,,Dwyane Wade,placed on IL for personal reasons
11/7/2018,Heat,,Goran Dragic,right knee injury (DTD)
11/7/2018,Heat,Hassan Whiteside,,returned to lineup
